cellTime,cell,time,blot
ABa:1,ABa,1,4956
ABa:2,ABa,2,7599
ABa:3,ABa,3,2466
ABal:4,ABal,4,2266
ABal:5,ABal,5,3101
ABal:6,ABal,6,1889
ABal:7,ABal,7,398
ABal:8,ABal,8,188
ABal:9,ABal,9,274
ABal:10,ABal,10,464
ABal:11,ABal,11,768
ABal:12,ABal,12,1153
ABal:13,ABal,13,3633
ABal:14,ABal,14,4444
ABala:15,ABala,15,2885
ABala:16,ABala,16,3360
ABala:17,ABala,17,2556
ABala:18,ABala,18,2082
ABala:19,ABala,19,1596
ABala:20,ABala,20,1725
ABala:21,ABala,21,2013
ABala:22,ABala,22,1935
ABala:23,ABala,23,2084
ABala:24,ABala,24,2280
ABala:25,ABala,25,2561
ABala:26,ABala,26,2711
ABala:27,ABala,27,2233
ABalaa:28,ABalaa,28,1744
ABalaa:29,ABalaa,29,2273
ABalaa:30,ABalaa,30,2029
ABalaa:31,ABalaa,31,1296
ABalaa:32,ABalaa,32,995
ABalaa:33,ABalaa,33,854
ABalaa:34,ABalaa,34,709
ABalaa:35,ABalaa,35,827
ABalaa:36,ABalaa,36,1046
ABalaa:37,ABalaa,37,1273
ABalaa:38,ABalaa,38,1454
ABalaa:39,ABalaa,39,1615
ABalaa:40,ABalaa,40,1812
ABalaa:41,ABalaa,41,2261
ABalaa:42,ABalaa,42,2168
ABalaa:43,ABalaa,43,2482
ABalaa:44,ABalaa,44,1819
ABalaa:45,ABalaa,45,1131
ABalaaa:46,ABalaaa,46,1539
ABalaaa:47,ABalaaa,47,1910
ABalaaa:48,ABalaaa,48,1300
ABalaaa:49,ABalaaa,49,1071
ABalaaa:50,ABalaaa,50,757
ABalaaa:51,ABalaaa,51,819
ABalaaa:52,ABalaaa,52,723
ABalaaa:53,ABalaaa,53,923
ABalaaa:54,ABalaaa,54,763
ABalaaa:55,ABalaaa,55,1009
ABalaaa:56,ABalaaa,56,1218
ABalaaa:57,ABalaaa,57,1158
ABalaaa:58,ABalaaa,58,990
ABalaaa:59,ABalaaa,59,1247
ABalaaa:60,ABalaaa,60,1265
ABalaaa:61,ABalaaa,61,1270
ABalaaa:62,ABalaaa,62,1361
ABalaaa:63,ABalaaa,63,1459
ABalaaa:64,ABalaaa,64,1163
ABalaaa:65,ABalaaa,65,785
ABalaaaa:66,ABalaaaa,66,435
ABalaaaa:67,ABalaaaa,67,567
ABalaaaa:68,ABalaaaa,68,346
ABalaaaa:69,ABalaaaa,69,447
ABalaaaa:70,ABalaaaa,70,184
ABalaaaa:71,ABalaaaa,71,313
ABalaaaa:72,ABalaaaa,72,221
ABalaaaa:73,ABalaaaa,73,197
ABalaaaa:74,ABalaaaa,74,541
ABalaaaa:75,ABalaaaa,75,947
ABalaaaa:76,ABalaaaa,76,639
ABalaaaa:77,ABalaaaa,77,665
ABalaaaa:78,ABalaaaa,78,936
ABalaaaa:79,ABalaaaa,79,708
ABalaaaa:80,ABalaaaa,80,947
ABalaaaa:81,ABalaaaa,81,1034
ABalaaaa:82,ABalaaaa,82,1161
ABalaaaa:83,ABalaaaa,83,1153
ABalaaaa:84,ABalaaaa,84,1244
ABalaaaa:85,ABalaaaa,85,1244
ABalaaaa:86,ABalaaaa,86,1141
ABalaaaa:87,ABalaaaa,87,1286
ABalaaaa:88,ABalaaaa,88,1002
ABalaaaa:89,ABalaaaa,89,1091
ABalaaaa:90,ABalaaaa,90,1157
ABalaaaa:91,ABalaaaa,91,1483
ABalaaaal:92,ABalaaaal,92,1298
ABalaaaal:93,ABalaaaal,93,1074
ABalaaaal:94,ABalaaaal,94,864
ABalaaaal:95,ABalaaaal,95,1132
ABalaaaal:96,ABalaaaal,96,628
ABalaaaal:97,ABalaaaal,97,1402
ABalaaaal:98,ABalaaaal,98,1090
ABalaaaal:99,ABalaaaal,99,1036
ABalaaaal:100,ABalaaaal,100,1237
ABalaaaal:101,ABalaaaal,101,804
ABalaaaal:102,ABalaaaal,102,881
ABalaaaal:103,ABalaaaal,103,1179
ABalaaaal:104,ABalaaaal,104,1145
ABalaaaal:105,ABalaaaal,105,1484
ABalaaaal:106,ABalaaaal,106,1562
ABalaaaal:107,ABalaaaal,107,1020
ABalaaaal:108,ABalaaaal,108,1455
ABalaaaal:109,ABalaaaal,109,1135
ABalaaaal:110,ABalaaaal,110,1069
ABalaaaal:111,ABalaaaal,111,1178
ABalaaaal:112,ABalaaaal,112,1024
ABalaaaal:113,ABalaaaal,113,1036
ABalaaaal:114,ABalaaaal,114,941
ABalaaaal:115,ABalaaaal,115,1023
ABalaaaal:116,ABalaaaal,116,1347
ABalaaaal:117,ABalaaaal,117,1096
ABalaaaal:118,ABalaaaal,118,1428
ABalaaaal:119,ABalaaaal,119,1130
ABalaaaal:120,ABalaaaal,120,1382
ABalaaaal:121,ABalaaaal,121,808
ABalaaaal:122,ABalaaaal,122,1880
ABalaaaala:123,ABalaaaala,123,1493
ABalaaaala:124,ABalaaaala,124,910
ABalaaaala:125,ABalaaaala,125,1755
ABalaaaala:126,ABalaaaala,126,1280
ABalaaaala:127,ABalaaaala,127,1652
ABalaaaala:128,ABalaaaala,128,1648
ABalaaaala:129,ABalaaaala,129,1557
ABalaaaala:130,ABalaaaala,130,2111
ABalaaaala:131,ABalaaaala,131,1279
ABalaaaala:132,ABalaaaala,132,1370
ABalaaaala:133,ABalaaaala,133,1779
ABalaaaala:134,ABalaaaala,134,1181
ABalaaaala:135,ABalaaaala,135,1193
ABalaaaala:136,ABalaaaala,136,1075
ABalaaaala:137,ABalaaaala,137,962
ABalaaaala:138,ABalaaaala,138,997
ABalaaaala:139,ABalaaaala,139,955
ABalaaaala:140,ABalaaaala,140,1300
ABalaaaala:141,ABalaaaala,141,785
ABalaaaala:142,ABalaaaala,142,1432
ABalaaaala:143,ABalaaaala,143,857
ABalaaaala:144,ABalaaaala,144,1324
ABalaaaala:145,ABalaaaala,145,1165
ABalaaaala:146,ABalaaaala,146,962
ABalaaaala:147,ABalaaaala,147,1411
ABalaaaala:148,ABalaaaala,148,1528
ABalaaaala:149,ABalaaaala,149,1453
ABalaaaala:150,ABalaaaala,150,1125
ABalaaaala:151,ABalaaaala,151,1230
ABalaaaala:152,ABalaaaala,152,1225
ABalaaaala:153,ABalaaaala,153,1587
ABalaaaala:154,ABalaaaala,154,1312
ABalaaaala:155,ABalaaaala,155,1446
ABalaaaala:156,ABalaaaala,156,1359
ABalaaaala:157,ABalaaaala,157,1376
ABalaaaala:158,ABalaaaala,158,1301
ABalaaaala:159,ABalaaaala,159,1233
ABalaaaala:160,ABalaaaala,160,1271
ABalaaaala:161,ABalaaaala,161,1417
ABalaaaala:162,ABalaaaala,162,1023
ABalaaaala:163,ABalaaaala,163,1018
ABalaaaala:164,ABalaaaala,164,866
ABalaaaala:165,ABalaaaala,165,842
ABalaaaala:166,ABalaaaala,166,769
ABalaaaala:167,ABalaaaala,167,1348
ABalaaaala:168,ABalaaaala,168,857
ABalaaaala:169,ABalaaaala,169,939
ABalaaaala:170,ABalaaaala,170,1133
ABalaaaala:171,ABalaaaala,171,1020
ABalaaaala:172,ABalaaaala,172,994
ABalaaaala:173,ABalaaaala,173,519
ABalaaaala:174,ABalaaaala,174,1016
ABalaaaalar:175,ABalaaaalar,175,941
ABalaaaalar:176,ABalaaaalar,176,1293
ABalaaaalar:177,ABalaaaalar,177,688
ABalaaaalar:178,ABalaaaalar,178,600
ABalaaaalar:179,ABalaaaalar,179,618
ABalaaaalar:180,ABalaaaalar,180,906
ABalaaaalar:181,ABalaaaalar,181,949
ABalaaaalar:182,ABalaaaalar,182,907
ABalaaaalar:183,ABalaaaalar,183,505
ABalaaaalar:184,ABalaaaalar,184,649
ABalaaaalar:185,ABalaaaalar,185,1098
ABalaaaalar:186,ABalaaaalar,186,1217
ABalaaaalar:187,ABalaaaalar,187,844
ABalaaaalar:188,ABalaaaalar,188,926
ABalaaaalar:189,ABalaaaalar,189,1275
ABalaaaalar:190,ABalaaaalar,190,898
ABalaaaalar:191,ABalaaaalar,191,1192
ABalaaaalar:192,ABalaaaalar,192,1394
ABalaaaalar:193,ABalaaaalar,193,1005
ABalaaaalar:194,ABalaaaalar,194,1163
ABalaaaalar:195,ABalaaaalar,195,893
ABalaaaalar:196,ABalaaaalar,196,1076
ABalaaaalar:197,ABalaaaalar,197,717
ABalaaaalar:198,ABalaaaalar,198,1683
ABalaaaalar:199,ABalaaaalar,199,1163
ABalaaaalar:200,ABalaaaalar,200,1510
ABalaaaalar:201,ABalaaaalar,201,855
ABalaaaalar:202,ABalaaaalar,202,1206
ABalaaaalar:203,ABalaaaalar,203,1290
ABalaaaalar:204,ABalaaaalar,204,1472
ABalaaaalar:205,ABalaaaalar,205,1871
ABalaaaalar:206,ABalaaaalar,206,1733
ABalaaaalar:207,ABalaaaalar,207,1841
ABalaaaalar:208,ABalaaaalar,208,1759
ABalaaaalar:209,ABalaaaalar,209,1480
ABalaaaalar:210,ABalaaaalar,210,1660
ABalaaaalar:211,ABalaaaalar,211,1456
ABalaaaalar:212,ABalaaaalar,212,1152
ABalaaaalal:175,ABalaaaalal,175,1398
ABalaaaalal:176,ABalaaaalal,176,1352
ABalaaaalal:177,ABalaaaalal,177,903
ABalaaaalal:178,ABalaaaalal,178,921
ABalaaaalal:179,ABalaaaalal,179,859
ABalaaaalal:180,ABalaaaalal,180,960
ABalaaaalal:181,ABalaaaalal,181,838
ABalaaaalal:182,ABalaaaalal,182,660
ABalaaaalal:183,ABalaaaalal,183,1248
ABalaaaalal:184,ABalaaaalal,184,701
ABalaaaalal:185,ABalaaaalal,185,1272
ABalaaaalal:186,ABalaaaalal,186,879
ABalaaaalal:187,ABalaaaalal,187,862
ABalaaaalal:188,ABalaaaalal,188,661
ABalaaaalal:189,ABalaaaalal,189,1182
ABalaaaalal:190,ABalaaaalal,190,1223
ABalaaaalal:191,ABalaaaalal,191,552
ABalaaaalal:192,ABalaaaalal,192,426
ABalaaaalal:193,ABalaaaalal,193,895
ABalaaaalal:194,ABalaaaalal,194,1135
ABalaaaalal:195,ABalaaaalal,195,1187
ABalaaaalal:196,ABalaaaalal,196,1032
ABalaaaalal:197,ABalaaaalal,197,1167
ABalaaaalal:198,ABalaaaalal,198,973
ABalaaaalal:199,ABalaaaalal,199,1523
ABalaaaalal:200,ABalaaaalal,200,1619
ABalaaaalal:201,ABalaaaalal,201,934
ABalaaaalal:202,ABalaaaalal,202,788
ABalaaaalal:203,ABalaaaalal,203,972
ABalaaaalal:204,ABalaaaalal,204,758
ABalaaaalal:205,ABalaaaalal,205,1024
ABalaaaalal:206,ABalaaaalal,206,871
ABalaaaalal:207,ABalaaaalal,207,761
ABalaaaalal:208,ABalaaaalal,208,1036
ABalaaaalal:209,ABalaaaalal,209,1102
ABalaaaalal:210,ABalaaaalal,210,1272
ABalaaaalal:211,ABalaaaalal,211,1334
ABalaaaalal:212,ABalaaaalal,212,1458
ABalaaaalal:213,ABalaaaalal,213,2355
ABalaaaalal:214,ABalaaaalal,214,1100
ABalaaaalal:215,ABalaaaalal,215,1623
ABalaaaalal:216,ABalaaaalal,216,1420
ABalaaaalal:217,ABalaaaalal,217,1344
ABalaaaalal:218,ABalaaaalal,218,1801
ABalaaaalal:219,ABalaaaalal,219,1325
ABalaaaalal:220,ABalaaaalal,220,1954
ABalaaaalal:221,ABalaaaalal,221,1944
ABalaaaalal:222,ABalaaaalal,222,2089
ABalaaaalal:223,ABalaaaalal,223,1669
ABalaaaalal:224,ABalaaaalal,224,1911
ABalaaaalal:225,ABalaaaalal,225,1678
ABalaaaalal:226,ABalaaaalal,226,1560
ABalaaaalal:227,ABalaaaalal,227,1838
ABalaaaalal:228,ABalaaaalal,228,2655
ABalaaaalal:229,ABalaaaalal,229,2666
ABalaaaalal:230,ABalaaaalal,230,2449
ABalaaaalal:231,ABalaaaalal,231,1376
ABalaaaalal:232,ABalaaaalal,232,2255
ABalaaaalal:233,ABalaaaalal,233,2369
ABalaaaalal:234,ABalaaaalal,234,1330
ABalaaaalal:235,ABalaaaalal,235,1660
ABalaaaalal:236,ABalaaaalal,236,2075
ABalaaaalal:237,ABalaaaalal,237,2197
ABalaaaalal:238,ABalaaaalal,238,1675
ABalaaaalal:239,ABalaaaalal,239,1665
ABalaaaalal:240,ABalaaaalal,240,1879
ABalaaaalp:123,ABalaaaalp,123,1512
ABalaaaalp:124,ABalaaaalp,124,1385
ABalaaaalp:125,ABalaaaalp,125,1863
ABalaaaalp:126,ABalaaaalp,126,1272
ABalaaaalp:127,ABalaaaalp,127,1680
ABalaaaalp:128,ABalaaaalp,128,1444
ABalaaaalp:129,ABalaaaalp,129,1336
ABalaaaalp:130,ABalaaaalp,130,1246
ABalaaaalp:131,ABalaaaalp,131,970
ABalaaaalp:132,ABalaaaalp,132,1077
ABalaaaalp:133,ABalaaaalp,133,1218
ABalaaaalp:134,ABalaaaalp,134,856
ABalaaaalp:135,ABalaaaalp,135,1172
ABalaaaalp:136,ABalaaaalp,136,1257
ABalaaaalp:137,ABalaaaalp,137,1271
ABalaaaalp:138,ABalaaaalp,138,1112
ABalaaaalp:139,ABalaaaalp,139,986
ABalaaaalp:140,ABalaaaalp,140,1261
ABalaaaalp:141,ABalaaaalp,141,994
ABalaaaalp:142,ABalaaaalp,142,1191
ABalaaaalp:143,ABalaaaalp,143,763
ABalaaaalp:144,ABalaaaalp,144,921
ABalaaaalp:145,ABalaaaalp,145,1203
ABalaaaalp:146,ABalaaaalp,146,1019
ABalaaaalp:147,ABalaaaalp,147,944
ABalaaaalp:148,ABalaaaalp,148,1228
ABalaaaalp:149,ABalaaaalp,149,600
ABalaaaalp:150,ABalaaaalp,150,1181
ABalaaaalp:151,ABalaaaalp,151,1186
ABalaaaalp:152,ABalaaaalp,152,1081
ABalaaaalp:153,ABalaaaalp,153,658
ABalaaaalp:154,ABalaaaalp,154,548
ABalaaaalp:155,ABalaaaalp,155,957
ABalaaaalp:156,ABalaaaalp,156,1159
ABalaaaalp:157,ABalaaaalp,157,918
ABalaaaalp:158,ABalaaaalp,158,681
ABalaaaalp:159,ABalaaaalp,159,614
ABalaaaalp:160,ABalaaaalp,160,712
ABalaaaalp:161,ABalaaaalp,161,760
ABalaaaalp:162,ABalaaaalp,162,907
ABalaaaalp:163,ABalaaaalp,163,719
ABalaaaalp:164,ABalaaaalp,164,504
ABalaaaalp:165,ABalaaaalp,165,642
ABalaaaalp:166,ABalaaaalp,166,570
ABalaaaalp:167,ABalaaaalp,167,556
ABalaaaalp:168,ABalaaaalp,168,896
ABalaaaalp:169,ABalaaaalp,169,1042
ABalaaaalp:170,ABalaaaalp,170,736
ABalaaaalp:171,ABalaaaalp,171,978
ABalaaaalp:172,ABalaaaalp,172,1154
ABalaaaalp:173,ABalaaaalp,173,657
ABalaaaalpa:174,ABalaaaalpa,174,584
ABalaaaalpa:175,ABalaaaalpa,175,1455
ABalaaaalpa:176,ABalaaaalpa,176,752
ABalaaaalpa:177,ABalaaaalpa,177,407
ABalaaaalpa:178,ABalaaaalpa,178,895
ABalaaaalpa:179,ABalaaaalpa,179,198
ABalaaaalpa:180,ABalaaaalpa,180,-74
ABalaaaalpa:181,ABalaaaalpa,181,78
ABalaaaalpa:182,ABalaaaalpa,182,503
ABalaaaalpa:183,ABalaaaalpa,183,740
ABalaaaalpa:184,ABalaaaalpa,184,1151
ABalaaaalpa:185,ABalaaaalpa,185,951
ABalaaaalpa:186,ABalaaaalpa,186,1449
ABalaaaalpa:187,ABalaaaalpa,187,940
ABalaaaalpa:188,ABalaaaalpa,188,1374
ABalaaaalpa:189,ABalaaaalpa,189,1183
ABalaaaalpa:190,ABalaaaalpa,190,895
ABalaaaalpa:191,ABalaaaalpa,191,1398
ABalaaaalpa:192,ABalaaaalpa,192,1403
ABalaaaalpa:193,ABalaaaalpa,193,641
ABalaaaalpa:194,ABalaaaalpa,194,1140
ABalaaaalpa:195,ABalaaaalpa,195,1162
ABalaaaalpa:196,ABalaaaalpa,196,1996
ABalaaaalpa:197,ABalaaaalpa,197,1456
ABalaaaalpa:198,ABalaaaalpa,198,1507
ABalaaaalpa:199,ABalaaaalpa,199,1486
ABalaaaalpa:200,ABalaaaalpa,200,1649
ABalaaaalpa:201,ABalaaaalpa,201,1276
ABalaaaalpa:202,ABalaaaalpa,202,1216
ABalaaaalpa:203,ABalaaaalpa,203,1502
ABalaaaalpa:204,ABalaaaalpa,204,1003
ABalaaaalpa:205,ABalaaaalpa,205,1554
ABalaaaalpa:206,ABalaaaalpa,206,1979
ABalaaaalpa:207,ABalaaaalpa,207,632
ABalaaaalpa:208,ABalaaaalpa,208,1574
ABalaaaalpa:209,ABalaaaalpa,209,1508
ABalaaaalpa:210,ABalaaaalpa,210,1010
ABalaaaalpa:211,ABalaaaalpa,211,1288
ABalaaaalpa:212,ABalaaaalpa,212,987
ABalaaaalpa:213,ABalaaaalpa,213,1726
ABalaaaalpa:214,ABalaaaalpa,214,1280
ABalaaaalpa:215,ABalaaaalpa,215,1489
ABalaaaalpa:216,ABalaaaalpa,216,1316
ABalaaaalpa:217,ABalaaaalpa,217,527
ABalaaaalpa:218,ABalaaaalpa,218,1088
ABalaaaalpa:219,ABalaaaalpa,219,1546
ABalaaaalpa:220,ABalaaaalpa,220,1366
ABalaaaalpa:221,ABalaaaalpa,221,1663
ABalaaaalpa:222,ABalaaaalpa,222,2966
ABalaaaalpa:223,ABalaaaalpa,223,2674
ABalaaaalpa:224,ABalaaaalpa,224,1725
ABalaaaalpa:225,ABalaaaalpa,225,3727
ABalaaaalpa:226,ABalaaaalpa,226,3023
ABalaaaalpa:227,ABalaaaalpa,227,3316
ABalaaaalpa:228,ABalaaaalpa,228,2849
ABalaaaalpa:229,ABalaaaalpa,229,2335
ABalaaaalpa:230,ABalaaaalpa,230,3502
ABalaaaalpa:231,ABalaaaalpa,231,4523
ABalaaaalpa:232,ABalaaaalpa,232,3915
ABalaaaalpa:233,ABalaaaalpa,233,3151
ABalaaaalpp:174,ABalaaaalpp,174,524
ABalaaaalpp:175,ABalaaaalpp,175,868
ABalaaaalpp:176,ABalaaaalpp,176,216
ABalaaaalpp:177,ABalaaaalpp,177,-43
ABalaaaalpp:178,ABalaaaalpp,178,196
ABalaaaalpp:179,ABalaaaalpp,179,31
ABalaaaalpp:180,ABalaaaalpp,180,570
ABalaaaalpp:181,ABalaaaalpp,181,-86
ABalaaaalpp:182,ABalaaaalpp,182,-73
ABalaaaalpp:183,ABalaaaalpp,183,607
ABalaaaalpp:184,ABalaaaalpp,184,281
ABalaaaalpp:185,ABalaaaalpp,185,1123
ABalaaaalpp:186,ABalaaaalpp,186,905
ABalaaaalpp:187,ABalaaaalpp,187,229
ABalaaaalpp:188,ABalaaaalpp,188,583
ABalaaaalpp:189,ABalaaaalpp,189,1062
ABalaaaalpp:190,ABalaaaalpp,190,663
ABalaaaalpp:191,ABalaaaalpp,191,240
ABalaaaalpp:192,ABalaaaalpp,192,1009
ABalaaaalpp:193,ABalaaaalpp,193,795
ABalaaaalpp:194,ABalaaaalpp,194,387
ABalaaaalpp:195,ABalaaaalpp,195,938
ABalaaaalpp:196,ABalaaaalpp,196,452
ABalaaaalpp:197,ABalaaaalpp,197,607
ABalaaaalpp:198,ABalaaaalpp,198,1737
ABalaaaalpp:199,ABalaaaalpp,199,1242
ABalaaaalpp:200,ABalaaaalpp,200,1584
ABalaaaalpp:201,ABalaaaalpp,201,1087
ABalaaaalpp:202,ABalaaaalpp,202,1901
ABalaaaalpp:203,ABalaaaalpp,203,1615
ABalaaaalpp:204,ABalaaaalpp,204,1469
ABalaaaalpp:205,ABalaaaalpp,205,1498
ABalaaaalpp:206,ABalaaaalpp,206,1144
ABalaaaalpp:207,ABalaaaalpp,207,1110
ABalaaaalpp:208,ABalaaaalpp,208,1197
ABalaaaalpp:209,ABalaaaalpp,209,1353
ABalaaaalpp:210,ABalaaaalpp,210,1369
ABalaaaalpp:211,ABalaaaalpp,211,1374
ABalaaaalpp:212,ABalaaaalpp,212,1638
ABalaaaalpp:213,ABalaaaalpp,213,1232
ABalaaaalpp:214,ABalaaaalpp,214,911
ABalaaaalpp:215,ABalaaaalpp,215,1041
ABalaaaalpp:216,ABalaaaalpp,216,785
ABalaaaalpp:217,ABalaaaalpp,217,1945
ABalaaaalpp:218,ABalaaaalpp,218,2029
ABalaaaalpp:219,ABalaaaalpp,219,1410
ABalaaaalpp:220,ABalaaaalpp,220,1026
ABalaaaalpp:221,ABalaaaalpp,221,1587
ABalaaaalpp:222,ABalaaaalpp,222,1758
ABalaaaalpp:223,ABalaaaalpp,223,1628
ABalaaaalpp:224,ABalaaaalpp,224,1744
ABalaaaalpp:225,ABalaaaalpp,225,1727
ABalaaaalpp:226,ABalaaaalpp,226,2115
ABalaaaalpp:227,ABalaaaalpp,227,2237
ABalaaaalpp:228,ABalaaaalpp,228,2267
ABalaaaalpp:229,ABalaaaalpp,229,2895
ABalaaaalpp:230,ABalaaaalpp,230,2238
ABalaaaalpp:231,ABalaaaalpp,231,1841
ABalaaaalpp:232,ABalaaaalpp,232,1927
ABalaaaalpp:233,ABalaaaalpp,233,2009
ABalaaaalpp:234,ABalaaaalpp,234,1566
ABalaaaalpp:235,ABalaaaalpp,235,2082
ABalaaaalpp:236,ABalaaaalpp,236,2958
ABalaaaalpp:237,ABalaaaalpp,237,3174
ABalaaaalpp:238,ABalaaaalpp,238,3373
ABalaaaalpp:239,ABalaaaalpp,239,1949
ABalaaaalpp:240,ABalaaaalpp,240,2474
ABalaaaar:92,ABalaaaar,92,974
ABalaaaar:93,ABalaaaar,93,1059
ABalaaaar:94,ABalaaaar,94,1162
ABalaaaar:95,ABalaaaar,95,1271
ABalaaaar:96,ABalaaaar,96,1303
ABalaaaar:97,ABalaaaar,97,1378
ABalaaaar:98,ABalaaaar,98,1468
ABalaaaar:99,ABalaaaar,99,1308
ABalaaaar:100,ABalaaaar,100,1338
ABalaaaar:101,ABalaaaar,101,1267
ABalaaaar:102,ABalaaaar,102,1620
ABalaaaar:103,ABalaaaar,103,1093
ABalaaaar:104,ABalaaaar,104,1362
ABalaaaar:105,ABalaaaar,105,1571
ABalaaaar:106,ABalaaaar,106,1356
ABalaaaar:107,ABalaaaar,107,1409
ABalaaaar:108,ABalaaaar,108,1567
ABalaaaar:109,ABalaaaar,109,1528
ABalaaaar:110,ABalaaaar,110,1555
ABalaaaar:111,ABalaaaar,111,1496
ABalaaaar:112,ABalaaaar,112,1544
ABalaaaar:113,ABalaaaar,113,1739
ABalaaaar:114,ABalaaaar,114,1360
ABalaaaar:115,ABalaaaar,115,1330
ABalaaaar:116,ABalaaaar,116,1615
ABalaaaar:117,ABalaaaar,117,1226
ABalaaaar:118,ABalaaaar,118,1479
ABalaaaar:119,ABalaaaar,119,1430
ABalaaaar:120,ABalaaaar,120,1689
ABalaaaar:121,ABalaaaar,121,1095
ABalaaaar:122,ABalaaaar,122,1432
ABalaaaar:123,ABalaaaar,123,2135
ABalaaaarl:124,ABalaaaarl,124,1891
ABalaaaarl:125,ABalaaaarl,125,1213
ABalaaaarl:126,ABalaaaarl,126,1586
ABalaaaarl:127,ABalaaaarl,127,1323
ABalaaaarl:128,ABalaaaarl,128,1157
ABalaaaarl:129,ABalaaaarl,129,847
ABalaaaarl:130,ABalaaaarl,130,1423
ABalaaaarl:131,ABalaaaarl,131,999
ABalaaaarl:132,ABalaaaarl,132,941
ABalaaaarl:133,ABalaaaarl,133,517
ABalaaaarl:134,ABalaaaarl,134,1181
ABalaaaarl:135,ABalaaaarl,135,1179
ABalaaaarl:136,ABalaaaarl,136,807
ABalaaaarl:137,ABalaaaarl,137,739
ABalaaaarl:138,ABalaaaarl,138,609
ABalaaaarl:139,ABalaaaarl,139,946
ABalaaaarl:140,ABalaaaarl,140,1261
ABalaaaarl:141,ABalaaaarl,141,890
ABalaaaarl:142,ABalaaaarl,142,1033
ABalaaaarl:143,ABalaaaarl,143,1476
ABalaaaarl:144,ABalaaaarl,144,1125
ABalaaaarl:145,ABalaaaarl,145,548
ABalaaaarl:146,ABalaaaarl,146,1219
ABalaaaarl:147,ABalaaaarl,147,1077
ABalaaaarl:148,ABalaaaarl,148,1083
ABalaaaarl:149,ABalaaaarl,149,1104
ABalaaaarl:150,ABalaaaarl,150,1088
ABalaaaarl:151,ABalaaaarl,151,1371
ABalaaaarl:152,ABalaaaarl,152,1229
ABalaaaarl:153,ABalaaaarl,153,1431
ABalaaaarl:154,ABalaaaarl,154,1078
ABalaaaarl:155,ABalaaaarl,155,1617
ABalaaaarl:156,ABalaaaarl,156,1116
ABalaaaarl:157,ABalaaaarl,157,871
ABalaaaarl:158,ABalaaaarl,158,1101
ABalaaaarl:159,ABalaaaarl,159,1499
ABalaaaarl:160,ABalaaaarl,160,1138
ABalaaaarl:161,ABalaaaarl,161,1133
ABalaaaarl:162,ABalaaaarl,162,1014
ABalaaaarl:163,ABalaaaarl,163,994
ABalaaaarl:164,ABalaaaarl,164,1226
ABalaaaarl:165,ABalaaaarl,165,1273
ABalaaaarl:166,ABalaaaarl,166,1281
ABalaaaarl:167,ABalaaaarl,167,1312
ABalaaaarl:168,ABalaaaarl,168,1386
ABalaaaarl:169,ABalaaaarl,169,1238
ABalaaaarl:170,ABalaaaarl,170,855
ABalaaaarl:171,ABalaaaarl,171,1139
ABalaaaarla:172,ABalaaaarla,172,812
ABalaaaarla:173,ABalaaaarla,173,979
ABalaaaarla:174,ABalaaaarla,174,970
ABalaaaarla:175,ABalaaaarla,175,1094
ABalaaaarla:176,ABalaaaarla,176,931
ABalaaaarla:177,ABalaaaarla,177,572
ABalaaaarla:178,ABalaaaarla,178,730
ABalaaaarla:179,ABalaaaarla,179,709
ABalaaaarla:180,ABalaaaarla,180,838
ABalaaaarla:181,ABalaaaarla,181,939
ABalaaaarla:182,ABalaaaarla,182,690
ABalaaaarla:183,ABalaaaarla,183,1116
ABalaaaarla:184,ABalaaaarla,184,1547
ABalaaaarla:185,ABalaaaarla,185,1369
ABalaaaarla:186,ABalaaaarla,186,1604
ABalaaaarla:187,ABalaaaarla,187,1217
ABalaaaarla:188,ABalaaaarla,188,962
ABalaaaarla:189,ABalaaaarla,189,891
ABalaaaarla:190,ABalaaaarla,190,1237
ABalaaaarla:191,ABalaaaarla,191,1398
ABalaaaarla:192,ABalaaaarla,192,1182
ABalaaaarla:193,ABalaaaarla,193,983
ABalaaaarla:194,ABalaaaarla,194,1739
ABalaaaarla:195,ABalaaaarla,195,1774
ABalaaaarla:196,ABalaaaarla,196,1914
ABalaaaarla:197,ABalaaaarla,197,1524
ABalaaaarla:198,ABalaaaarla,198,1451
ABalaaaarla:199,ABalaaaarla,199,1863
ABalaaaarla:200,ABalaaaarla,200,2258
ABalaaaarla:201,ABalaaaarla,201,1080
ABalaaaarla:202,ABalaaaarla,202,1837
ABalaaaarla:203,ABalaaaarla,203,1613
ABalaaaarla:204,ABalaaaarla,204,1095
ABalaaaarla:205,ABalaaaarla,205,1663
ABalaaaarla:206,ABalaaaarla,206,1062
ABalaaaarla:207,ABalaaaarla,207,586
ABalaaaarla:208,ABalaaaarla,208,1179
ABalaaaarla:209,ABalaaaarla,209,1239
ABalaaaarla:210,ABalaaaarla,210,1333
ABalaaaarla:211,ABalaaaarla,211,1665
ABalaaaarla:212,ABalaaaarla,212,1514
ABalaaaarla:213,ABalaaaarla,213,1620
ABalaaaarla:214,ABalaaaarla,214,866
ABalaaaarla:215,ABalaaaarla,215,1353
ABalaaaarla:216,ABalaaaarla,216,1322
ABalaaaarla:217,ABalaaaarla,217,791
ABalaaaarla:218,ABalaaaarla,218,705
ABalaaaarla:219,ABalaaaarla,219,1655
ABalaaaarla:220,ABalaaaarla,220,1421
ABalaaaarla:221,ABalaaaarla,221,1661
